chassi,pps,percentil_tiktok,percentil_nps,percentil_visits,percentil_snapon,percentil_mystery,percentil_chatbot,percentil_download
LC0C74C45S5005642,"204.800,00",,,,,,,
LC0C74C45S5007200,"204.800,00",,,,,,,
LC0C74C45S5006886,"204.800,00",,,,,,,
LC0C74C45S5006595,"204.800,00",,,,,,,
LC0C74C45S5004040,"204.800,00",,,,,,,
LC0C74C45S5005978,"204.800,00",,,,,,,
LC0C74C42S5001502,"204.800,00",,,,,,,
LC0C74C45S5003499,"204.800,00",,,,,,,
LC0C76C46S0019283,"191.900,00",,,,,,,
LC0C76C46S0019350,"191.900,00",,,,,,,
LC0C76C46S0019140,"191.900,00",,,,,,,
LC0C76C43S0015188,"191.900,00",,,,,,,
LC0CE4CB8S0009850,"184.800,00",,,,,,,
LC0CE4CB4S4003097,"182.800,00",,,,,,,
LC0CE4CB2S4003423,"182.800,00",,,,,,,
LC0CE4CB4S4003035,"182.800,00",,,,,,,
LC0CE4CB4S4003052,"182.800,00",,,,,,,
LC0CE4CB4S4002726,"182.800,00",,,,,,,
LC0CE4CB6S4003960,"182.800,00",,,,,,,
LC0CE4CB6S4003957,"182.800,00",,,,,,,
LC0CE4CB2S4003602,"182.800,00",,,,,,,
LC0CE4CB2S4002787,"182.800,00",,,,,,,
LC0CE4CB2S4003339,"182.800,00",,,,,,,
LC0CE4CB1S0008720,"184.800,00",,,,,,,
LC0CE4CB1S0008734,"184.800,00",,,,,,,
LC0CE4CB0S0009423,"184.800,00",,,,,,,
LC0CE4CB0S0009728,"184.800,00",,,,,,,
LC0CE4CB0S0008904,"184.800,00",,,,,,,
LC0CE4CB0S0009731,"184.800,00",,,,,,,
LC0CE4CBXS0017769,"184.800,00",,,,,,,
LC0CE4CBXS0016542,"184.800,00",,,,,,,
LC0CE4CB0S0013438,"184.800,00",,,,,,,
LC0CE4CB5S0013385,"184.800,00",,,,,,,
LC0CE4CB8S0019469,"184.800,00",,,,,,,
LC0CE4CBXS0015679,"184.800,00",,,,,,,
LC0CE4CBXS0016427,"184.800,00",,,,,,,
LC0CE4CB8S0019598,"184.800,00",,,,,,,
LC0CE4CB7S0019642,"184.800,00",,,,,,,
LC0CE4CBXS0015813,"184.800,00",,,,,,,
LC0CE4CBXS0015794,"184.800,00",,,,,,,
LGXCF6CD3S2004082,"299.800,00",,,,,,,
LGXCF6CD8S2001985,"299.800,00",,,,,,,
LGXCF6CD1S2004842,"299.800,00",,,,,,,
LGXCF6CD1S2001875,"299.800,00",,,"0,00200000","0,00200000",,,
LGXCF6CD7S2000875,"299.800,00",,"0,00300000","0,00200000","0,00200000","0,00300000",,
LGXCF6CD5S2000714,"299.800,00",,"0,00300000","0,00200000","0,00200000","0,00300000",,
LGXCF6CD7S2000892,"299.800,00",,"0,00300000","0,00200000","0,00200000","0,00300000",,
LGXCF6CD6S2000737,"299.800,00",,"0,00300000","0,00200000","0,00200000","0,00300000",,
LC0CE4CB8S4003281,"182.800,00",,"0,00300000","0,00200000","0,00200000","0,00300000",,
LC0CE4CB9S4001782,"182.800,00","0,00300000",,"0,00200000","0,00200000","0,00300000",,
LC0CE4CB8S4003197,"182.800,00",,"0,00300000","0,00200000","0,00200000","0,00300000",,
LGXCF6CD0S2002483,"299.800,00",,"0,00300000","0,00200000","0,00200000","0,00300000",,
