chassi,pps,val_pdi,percentil_atacado
LGXC74C43T0018871,"249.990,00",700,"0,02"
LGXC74C43T0018644,"249.990,00",700,"0,02"
LGXC74C43T0016554,"249.990,00",700,"0,02"
LGXC74C43T0020488,"249.990,00",700,"0,02"
LGXC74C44T0017731,"249.990,00",700,"0,02"
LGXC74C43T0020510,"249.990,00",700,"0,02"
LGXC74C40T0047440,"249.990,00",700,"0,02"
LGXC74C47T0017710,"249.990,00",700,"0,02"
LGXC74C47T0017738,"249.990,00",700,"0,02"
LGXC74C47T0018906,"249.990,00",700,"0,02"
LGXC74C47T0018937,"249.990,00",700,"0,02"
LGXC74C47T0018808,"249.990,00",700,"0,02"
LGXC74C47T0018887,"249.990,00",700,"0,02"
LGXC74C40T0018875,"249.990,00",700,"0,02"
LGXC74C4XT0017653,"249.990,00",700,"0,02"
LGXC74C4XT0018883,"249.990,00",700,"0,02"
LGXC74C4XT0020469,"249.990,00",700,"0,02"
LGXC74C49T0017711,"249.990,00",700,"0,02"
LGXC74C4XT0020472,"249.990,00",700,"0,02"
LC0C74C49T5021053,"199.990,00",700,"0,02"
